A	(A)[N]
Abmagerung	(((ab)[V|.A],(mager)[A])[V],(ung)[N|V.])[N]
abmalen	((ab)[V|.V],(mal)[V])[V]
Abmarsch	((ab)[N|.N],(Marsch)[N])[N]
abmarschbereit	(((ab)[N|.N],(Marsch)[N])[N],(bereit)[A])[A]
abmarschieren	((ab)[V|.V],((Marsch)[N],(ier)[V|N.])[V])[V]
abmehren	((ab)[V|.V],((mehr)[B])[V])[V]
abmeiern	((ab)[V|.N],(Meier)[N])[V]
Abmeierung	(((ab)[V|.N],(Meier)[N])[V],(ung)[N|V.])[N]
abmelden	((ab)[V|.V],(meld)[V])[V]
Abmeldung	(((ab)[V|.V],(meld)[V])[V],(ung)[N|V.])[N]
abmergeln	((ab)[V|.V],(mergel)[V])[V]
abmessen	((ab)[V|.V],(mess)[V])[V]
Abmessung	(((ab)[V|.V],(mess)[V])[V],(ung)[N|V.])[N]
abmontieren	((ab)[V|.V],(montier)[V])[V]
abmueden	((ab)[V|.A],(muede)[A])[V]
abmuehen	((ab)[V|.V],(mueh)[V])[V]
abmurksen	((ab)[V|.V],(murks)[V])[V]
abmustern	((ab)[V|.V],((Muster)[N])[V])[V]
Abmusterung	(((ab)[V|.V],((Muster)[N])[V])[V],(ung)[N|V.])[N]
abnabeln	((ab)[V|.N],(Nabel)[N])[V]
abnagen	((ab)[V|.V],(nag)[V])[V]
abnaehen	((ab)[V|.V],(naeh)[V])[V]
Abnaeher	(((ab)[V|.V],(naeh)[V])[V],(er)[N|V.])[N]
Abnahme	(((ab)[V|.V],(nehm)[V])[V])[N]
abnehmen	((ab)[V|.V],(nehm)[V])[V]
Abnehmer	(((ab)[V|.V],(nehm)[V])[V],(er)[N|V.])[N]
Abnehmerland	((((ab)[V|.V],(nehm)[V])[V],(er)[N|V.])[N],(Land)[N])[N]
abneigen	((ab)[V|.V],(neig)[V])[V]
Abneigung	((ab)[N|.N],((neig)[V],(ung)[N|V.])[N])[N]
abnibbeln	((ab)[V|.V],(nibbel)[V])[V]
abnorm	((ab)[A|.N],(Norm)[N])[A]
abnormal	((ab)[A|.A],((Norm)[N],(al)[A|N.])[A])[A]
Abnormitaet	(((ab)[A|.N],(Norm)[N])[A],(itaet)[N|A.])[N]
abnoetigen	((ab)[V|.V],(((Not)[N],(ig)[A|N.])[A])[V])[V]
abnutzen	((ab)[V|.V],(nutz)[V])[V]
abnuetzen	((ab)[V|.V],(nuetz)[V])[V]
Abnutzung	(((ab)[V|.V],(nutz)[V])[V],(ung)[N|V.])[N]
Abnuetzung	(((ab)[V|.V],(nuetz)[V])[V],(ung)[N|V.])[N]
Abonnementskarte	((Abonnement)[N],(s)[N|N.N],(Karte)[N])[N]
Abonnent	(Abonnent)[N]
abonnieren	(abonnier)[V]
abordnen	((ab)[V|.V],(ordn)[V])[V]
Abordnung	(((ab)[V|.V],(ordn)[V])[V],(ung)[N|V.])[N]
Abort	((ab)[N|.N],(Ort)[N])[N]
abortieren	((abort)[R],(ier)[V|R.])[V]
abortiv	((abort)[R],(iv)[A|R.])[A]
abpacken	((ab)[V|.V],(pack)[V])[V]
abparken	((ab)[V|.V],(park)[V])[V]
abpassen	((ab)[V|.V],(pass)[V])[V]
abpausen	((ab)[V|.V],(paus)[V])[V]
abperlen	((ab)[V|.V],((Perle)[N])[V])[V]
abpfeifen	((ab)[V|.V],(pfeif)[V])[V]
abpfluecken	((ab)[V|.V],(pflueck)[V])[V]
abphotographieren	((ab)[V|.V],((Photographie)[N],(ier)[V|N.])[V])[V]
abpinnen	((ab)[V|.V],(pinn)[V])[V]
abplagen	((ab)[V|.V],(plag)[V])[V]
abplatten	((ab)[V|.V],((platt)[A])[V])[V]
abprallen	((ab)[V|.V],(prall)[V])[V]
Abprall	(((ab)[V|.V],(prall)[V])[V])[N]
abpressen	((ab)[V|.V],(press)[V])[V]
abprotzen	((ab)[V|.V],((Protz)[N])[V])[V]
abputzen	((ab)[V|.V],(putz)[V])[V]
Abputz	(((ab)[V|.V],(putz)[V])[V])[N]
abquaelen	((ab)[V|.V],((Qual)[N])[V])[V]
abqualifizieren	((ab)[V|.V],((qualifiz)[R],(ier)[V|R.])[V])[V]
abrackern	((ab)[V|.V],((Racker)[N])[V])[V]
abrahmen	((ab)[V|.V],((Rahm)[N])[V])[V]
abrasieren	((ab)[V|.V],(rasier)[V])[V]
abraten	((ab)[V|.V],(rat)[V])[V]
abraeumen	((ab)[V|.V],((raum)[A])[V])[V]
Abraum	(((ab)[V|.V],((raum)[A])[V])[V])[N]
Abraumsalz	(((ab)[V|.V],((raum)[A])[V])[V],(Salz)[N])[N]
Abraxas	(Abraxas)[N]
abreagieren	((ab)[V|.V],((re)[V|.V],((ag)[R],(ier)[V|R.])[V])[V])[V]
abrebeln	((ab)[V|.V],(rebel)[V])[V]
abrechnen	((ab)[V|.V],(rechn)[V])[V]
Abrechnung	(((ab)[V|.V],(rechn)[V])[V],(ung)[N|V.])[N]
Abrechte	((ab)[N|.Ax],(recht)[A],(e)[N|xA.])[N]
Abrede	((ab)[N|.N],((red)[V],(e)[N|V.])[N])[N]
abregen	((ab)[V|.V],(reg)[V])[V]
abreiben	((ab)[V|.V],(reib)[V])[V]
Abreibung	(((ab)[V|.V],(reib)[V])[V],(ung)[N|V.])[N]
abreichen	((ab)[P],(reich)[V])[V]
abreisen	((ab)[V|.V],(reis)[V])[V]
Abreise	(((ab)[V|.V],(reis)[V])[V],(e)[N|V.])[N]
abreissen	((ab)[V|.V],(reiss)[V])[V]
Abreissblock	(((ab)[V|.V],(reiss)[V])[V],(Block)[N])[N]
Abreisskalender	(((ab)[V|.V],(reiss)[V])[V],(Kalender)[N])[N]
abreiten	((ab)[V|.V],(reit)[V])[V]
abrichten	((ab)[V|.V],(richt)[V])[V]
Abrichter	(((ab)[V|.V],(richt)[V])[V],(er)[N|V.])[N]
Abrichtung	(((ab)[V|.V],(richt)[V])[V],(ung)[N|V.])[N]
Abrieb	(((ab)[V|.V],(reib)[V])[V])[N]
abriebfest	((((ab)[V|.V],(reib)[V])[V])[N],(fest)[A|N.])[A]
abriegeln	((ab)[V|.V],((Riegel)[N])[V])[V]
Abriegelung	(((ab)[V|.V],((Riegel)[N])[V])[V],(ung)[N|V.])[N]
Abrieglung	(((ab)[V|.V],((Riegel)[N])[V])[V],(ung)[N|V.])[N]
abringen	((ab)[V|.V],((Ring)[N])[V])[V]
Abriss	(((ab)[V|.V],(reiss)[V])[V])[N]
abrollen	((ab)[V|.V],(roll)[V])[V]
abruecken	((ab)[V|.V],(rueck)[V])[V]
abrufen	((ab)[V|.V],(ruf)[V])[V]
Abruf	(((ab)[V|.V],(ruf)[V])[V])[N]
abrufbereit	(((ab)[V|.V],(ruf)[V])[V],(bereit)[A])[A]
abrunden	((ab)[V|.V],((rund)[A])[V])[V]
Abrundung	(((ab)[V|.V],((rund)[A])[V])[V],(ung)[N|V.])[N]
abrupfen	((ab)[V|.V],(rupf)[V])[V]
abrupt	(abrupt)[A]
abruesten	((ab)[V|.V],(ruest)[V])[V]
Abruestung	(((ab)[V|.V],(ruest)[V])[V],(ung)[N|V.])[N]
Abruestungskonferenz	((((ab)[V|.V],(ruest)[V])[V],(ung)[N|V.])[N],(s)[N|N.N],((konfer)[R],(enz)[N|R.])[N])[N]
abrutschen	((ab)[V|.V],(rutsch)[V])[V]
absacken	((ab)[V|.V],(sack)[V])[V]
absagen	((ab)[V|.V],(sag)[V])[V]
absaegen	((ab)[V|.V],((Saege)[N])[V])[V]
Absage	(((ab)[V|.V],(sag)[V])[V],(e)[N|V.])[N]
absahnen	((ab)[V|.N],(Sahne)[N])[V]
Absatz	(((ab)[V|.V],(setz)[V])[V])[N]
Absatzgebiet	((((ab)[V|.V],(setz)[V])[V])[N],(Gebiet)[N])[N]
absatzweise	((((ab)[V|.V],(setz)[V])[V])[N],(weise)[B])[B]
absaufen	((ab)[V|.V],(sauf)[V])[V]
abschaben	((ab)[V|.V],(schab)[V])[V]
abschaffen	((ab)[V|.V],(schaff)[V])[V]
Abschaffung	(((ab)[V|.V],(schaff)[V])[V],(ung)[N|V.])[N]
abschalten	((ab)[V|.V],(schalt)[V])[V]
abschatten	((ab)[V|.V],((Schatten)[N])[V])[V]
abschattieren	((ab)[V|.V],((Schatten)[N],(ier)[V|N.])[V])[V]
Abschattung	(((ab)[V|.V],((Schatten)[N])[V])[V],(ung)[N|V.])[N]
abschaetzen	((ab)[V|.V],(schaetz)[V])[V]
abschaetzig	(((ab)[V|.V],(schaetz)[V])[V],(ig)[A|V.])[A]
Abschaum	((ab)[N|.N],(Schaum)[N])[N]
abscheiden	((ab)[V|.V],(scheid)[V])[V]
abscheren	((ab)[V|.V],(scher)[V])[V]
Abscheu	((ab)[N|.N],((scheu)[A])[N])[N]
abscheuerregend	(((ab)[N|.N],((scheu)[A])[N])[N],(erregend)[F])[A]
abscheulich	(((ab)[N|.N],((scheu)[A])[N])[N],(lich)[A|N.])[A]
Abscheulichkeit	((((ab)[N|.N],((scheu)[A])[N])[N],(lich)[A|N.])[A],(keit)[N|A.])[N]
abschicken	((ab)[V|.V],(schick)[V])[V]
abschieben	((ab)[V|.V],(schieb)[V])[V]
Abschiebung	(((ab)[V|.V],(schieb)[V])[V],(ung)[N|V.])[N]
Abschied	(((ab)[V|.V],(scheid)[V])[V])[N]
Abschiedsbesuch	((((ab)[V|.V],(scheid)[V])[V])[N],(s)[N|N.N],((besuch)[V])[N])[N]
Abschiedsbrief	((((ab)[V|.V],(scheid)[V])[V])[N],(s)[N|N.N],(Brief)[N])[N]
Abschiedstag	((((ab)[V|.V],(scheid)[V])[V])[N],(s)[N|N.N],(Tag)[N])[N]
abschiessen	((ab)[V|.V],(schiess)[V])[V]
abschilfern	((ab)[V|.V],(schilfer)[V])[V]
Abschilferung	(((ab)[V|.V],(schilfer)[V])[V],(ung)[N|V.])[N]
abschinden	((ab)[V|.V],(schind)[V])[V]
abschirmen	((ab)[V|.V],((Schirm)[N])[V])[V]
Abschirmung	(((ab)[V|.V],((Schirm)[N])[V])[V],(ung)[N|V.])[N]
abschirren	((ab)[V|.V],(schirr)[V])[V]
abschlachten	((ab)[V|.V],(((schlag)[V],(t)[N|V.])[N])[V])[V]
Abschlachtung	(((ab)[V|.V],(((schlag)[V],(t)[N|V.])[N])[V])[V],(ung)[N|V.])[N]
abschlaffen	((ab)[V|.A],(schlaff)[A])[V]
abschlagen	((ab)[V|.V],(schlag)[V])[V]
Abschlag	(((ab)[V|.V],(schlag)[V])[V])[N]
abschlaegig	(((ab)[V|.V],(schlag)[V])[V],(ig)[A|V.])[A]
abschlaeglich	((((ab)[V|.V],(schlag)[V])[V])[N],(lich)[A|N.])[A]
Abschlagszahlung	((((ab)[V|.V],(schlag)[V])[V])[N],(s)[N|N.N],((zahl)[V],(ung)[N|V.])[N])[N]
abschlaemmen	((ab)[V|.V],((Schlamm)[N])[V])[V]
abschleifen	((ab)[V|.V],(schleif)[V])[V]
abschleppen	((ab)[V|.V],(schlepp)[V])[V]
Abschleppdienst	(((ab)[V|.V],(schlepp)[V])[V],(Dienst)[N])[N]
abschliessen	((ab)[V|.V],(schliess)[V])[V]
Abschluss	(((ab)[V|.V],(schliess)[V])[V])[N]
Abschlussexamen	((((ab)[V|.V],(schliess)[V])[V])[N],(Examen)[N])[N]
Abschlusspruefung	((((ab)[V|.V],(schliess)[V])[V])[N],((pruef)[V],(ung)[N|V.])[N])[N]
Abschlussstichtag	((((ab)[V|.V],(schliess)[V])[V])[N],(((stich)[F])[N],((Tag)[N])[V])[N])[N]
abschmalzen	((ab)[V|.V],((Schmalz)[N])[V])[V]
abschmaelzen	((ab)[V|.V],((Schmalz)[N])[V])[V]
abschmecken	((ab)[V|.V],(schmeck)[V])[V]
abschmelzen	((ab)[V|.V],(schmelz)[V])[V]
abschmettern	((ab)[V|.V],(schmetter)[V])[V]
abschmieren	((ab)[V|.V],(schmier)[V])[V]
abschminken	((ab)[V|.V],((Schminke)[N])[V])[V]
abschmirgeln	((ab)[V|.V],((Schmirgel)[N])[V])[V]
abschnallen	((ab)[V|.V],((Schnalle)[N])[V])[V]
abschneiden	((ab)[V|.V],(schneid)[V])[V]
Abschnitt	((abschnitt)[F])[N]
abschnittsweise	(((abschnitt)[F])[N],(s)[B|N.B],(weise)[B])[B]
Abschnitzel	((ab)[N|.N],((schnitz)[V],(el)[N|V.])[N])[N]
abschnueren	((ab)[V|.V],((Schnur)[N])[V])[V]
Abschnuerung	(((ab)[V|.V],((Schnur)[N])[V])[V],(ung)[N|V.])[N]
abschoepfen	((ab)[V|.V],(schoepf)[V])[V]
Abschoepfung	(((ab)[V|.V],(schoepf)[V])[V],(ung)[N|V.])[N]
abschotten	(abschott)[V]
abschraegen	((ab)[V|.V],((schraeg)[A])[V])[V]
abschrauben	((ab)[V|.V],((Schraube)[N])[V])[V]
abschrecken	((ab)[V|.V],(schreck)[V])[V]
abschreckend	((abschreckend)[F])[A]
Abschreckung	(((ab)[V|.V],(schreck)[V])[V],(ung)[N|V.])[N]
Abschreckungsstrafe	((((ab)[V|.V],(schreck)[V])[V],(ung)[N|V.])[N],(s)[N|N.N],((straf)[V],(e)[N|V.])[N])[N]
abschreiben	((ab)[V|.V],(schreib)[V])[V]
Abschreibung	(((ab)[V|.V],(schreib)[V])[V],(ung)[N|V.])[N]
Abschrift	(((ab)[V|.V],(schreib)[V])[V])[N]
abschriftlich	((((ab)[V|.V],(schreib)[V])[V])[N],(lich)[A|N.])[A]
abschroten	((ab)[V|.V],(schrot)[V])[V]
Abschrot	(((ab)[V|.V],(schrot)[V])[V])[N]
abschrubben	((ab)[V|.V],(schrubb)[V])[V]
abschuften	((ab)[V|.V],(((schieb)[V])[N])[V])[V]
abschuppen	((ab)[V|.V],((Schuppe)[N])[V])[V]
Abschuppung	(((ab)[V|.V],((Schuppe)[N])[V])[V],(ung)[N|V.])[N]
abschuerfen	((ab)[V|.V],(schuerf)[V])[V]
Abschuerfung	(((ab)[V|.V],(schuerf)[V])[V],(ung)[N|V.])[N]
Abschuss	(((ab)[V|.V],(schiess)[V])[V])[N]
abschuessig	((((ab)[V|.V],(schiess)[V])[V])[N],(ig)[A|N.])[A]
Abschussrampe	((((ab)[V|.V],(schiess)[V])[V])[N],(Rampe)[N])[N]
abschuetten	((ab)[V|.V],(schuett)[V])[V]
abschuetteln	((ab)[V|.V],((schuett)[V],(el)[V|V.])[V])[V]
abschwaechen	((ab)[V|.V],((schwach)[A])[V])[V]
Abschwaechung	(((ab)[V|.V],((schwach)[A])[V])[V],(ung)[N|V.])[N]
abschweifen	((ab)[V|.V],(schweif)[V])[V]
Abschweifung	(((ab)[V|.V],(schweif)[V])[V],(ung)[N|V.])[N]
abschwellen	((ab)[V|.V],(schwell)[V])[V]
abschwemmen	((ab)[V|.V],(schwemm)[V])[V]
abschwenken	((ab)[V|.V],(schwenk)[V])[V]
abschwingen	((ab)[V|.V],(schwing)[V])[V]
abschwirren	((ab)[V|.V],(schwirr)[V])[V]
abschwoeren	((ab)[V|.V],(schwoer)[V])[V]
Abschwung	(((ab)[V|.V],(schwing)[V])[V])[N]
absehen	((ab)[V|.V],(seh)[V])[V]
absehbar	(((ab)[V|.V],(seh)[V])[V],(bar)[A|V.])[A]
absein	((ab)[V|.V],(sei)[V])[V]
abseilen	((ab)[V|.V],((Seil)[N])[V])[V]
abseit	((ab)[B|.B],(seit)[B])[B]
Abseit	(((ab)[B|.B],(seit)[B])[B])[N]
Abseite	((ab)[N|.N],(Seite)[N])[N]
Abseitigkeit	(((ab)[B|.B],(seit)[B])[B],(ig)[N|B.x],(keit)[N|Bx.])[N]
abseits	((ab)[B|.Nx],(Seite)[N],(s)[B|xN.])[B]
Abseits	(((ab)[B|.Nx],(Seite)[N],(s)[B|xN.])[B])[N]
abseits	((ab)[P|.N],(Seite)[N])[P]
Abseitsstellung	(((ab)[B|.B],(seit)[B])[B],(s)[N|B.N],((stell)[V],(ung)[N|V.])[N])[N]
absenden	((ab)[V|.V],(send)[V])[V]
Absender	(((ab)[V|.V],(send)[V])[V],(er)[N|V.])[N]
Absendung	(((ab)[V|.V],(send)[V])[V],(ung)[N|V.])[N]
absenken	((ab)[V|.V],(senk)[V])[V]
Absenker	(((ab)[V|.V],(senk)[V])[V],(er)[N|V.])[N]
Absenz	(Absenz)[N]
abserbeln	((ab)[V|.V],(serbel)[V])[V]
abservieren	((ab)[V|.V],(servier)[V])[V]
absetzen	((ab)[V|.V],(setz)[V])[V]
absetzbar	(((ab)[V|.V],(setz)[V])[V],(bar)[A|V.])[A]
Absetzung	(((ab)[V|.V],(setz)[V])[V],(ung)[N|V.])[N]
absichern	((ab)[V|.V],((sicher)[A])[V])[V]
Absicht	(((ab)[V|.V],(seh)[V])[V])[N]
absichtlich	((((ab)[V|.V],(seh)[V])[V])[N],(lich)[A|N.])[A]
Absichtlichkeit	(((((ab)[V|.V],(seh)[V])[V])[N],(lich)[A|N.])[A],(keit)[N|A.])[N]
Absichtserklaerung	((((ab)[V|.V],(seh)[V])[V])[N],(s)[N|N.Vx],((er)[V|.V],((klar)[A])[V])[V],(ung)[N|NxV.])[N]
absichtslos	((((ab)[V|.V],(seh)[V])[V])[N],(s)[A|N.x],(los)[A|Nx.])[A]
absichtsvoll	((((ab)[V|.V],(seh)[V])[V])[N],(s)[A|N.A],(voll)[A])[A]
absingen	((ab)[V|.V],(sing)[V])[V]
absinken	((ab)[V|.V],(sink)[V])[V]
absitzen	((ab)[V|.V],(sitz)[V])[V]
Absolutheit	((absolut)[A],(heit)[N|A.])[N]
Absolution	((absolut)[R],(ion)[N|R.])[N]
Absolutismus	((absolut)[A],(ismus)[N|A.])[N]
Absolutist	((absolut)[A],(ist)[N|A.])[N]
absolutistisch	((absolut)[A],(istisch)[A|A.])[A]
Absolutorium	((absolv)[R],(orium)[N|R.])[N]
Absolvent	((absolv)[R],(ent)[N|R.])[N]
absolvieren	((absolv)[R],(ier)[V|R.])[V]
Absolvierung	(((absolv)[R],(ier)[V|R.])[V],(ung)[N|V.])[N]
absondern	((ab)[V|.V],(sonder)[V])[V]
absonderlich	(((ab)[V|.V],(sonder)[V])[V],(lich)[A|V.])[A]
Absonderlichkeit	((((ab)[V|.V],(sonder)[V])[V],(lich)[A|V.])[A],(keit)[N|A.])[N]
Absonderung	(((ab)[V|.V],(sonder)[V])[V],(ung)[N|V.])[N]
Absorber	((absorb)[R],(er)[N|R.])[N]
absorbieren	((absorb)[R],(ier)[V|R.])[V]
Absorption	(Absorption)[N]
absorptiv	(absorptiv)[A]
abspalten	((ab)[V|.V],(spalt)[V])[V]
Abspaltung	(((ab)[V|.V],(spalt)[V])[V],(ung)[N|V.])[N]
abspanen	((ab)[V|.V],((Span)[N])[V])[V]
abspaenen	((ab)[V|.V],(spaen)[V])[V]
abspannen	((ab)[V|.V],(spann)[V])[V]
Abspannung	(((ab)[V|.V],(spann)[V])[V],(ung)[N|V.])[N]
absparen	((ab)[V|.V],(spar)[V])[V]
abspeichern	((ab)[V|.V],((Speicher)[N])[V])[V]
abspeisen	((ab)[V|.V],((Speise)[N])[V])[V]
abspenstig	(abspenstig)[A]
absperren	((ab)[V|.V],(sperr)[V])[V]
Absperrhahn	(((ab)[V|.V],(sperr)[V])[V],(Hahn)[N])[N]
Absperrkette	(((ab)[V|.V],(sperr)[V])[V],(Kette)[N])[N]
Absperrung	(((ab)[V|.V],(sperr)[V])[V],(ung)[N|V.])[N]
abspiegeln	((ab)[V|.V],((Spiegel)[N])[V])[V]
abspielen	((ab)[V|.V],((Spiel)[N])[V])[V]
absplittern	((ab)[V|.V],(splitter)[V])[V]
Absplitterung	(((ab)[V|.V],(splitter)[V])[V],(ung)[N|V.])[N]
Absprache	(((ab)[V|.V],(sprech)[V])[V])[N]
absprachegemaess	((((ab)[V|.V],(sprech)[V])[V])[N],(gemaess)[A])[A]
absprechen	((ab)[V|.V],(sprech)[V])[V]
abspringen	((ab)[V|.V],(spring)[V])[V]
Absprung	(((ab)[V|.V],(spring)[V])[V])[N]
Absprunghafen	((((ab)[V|.V],(spring)[V])[V])[N],(Hafen)[N])[N]
abspulen	((ab)[V|.V],((Spule)[N])[V])[V]
abspuelen	((ab)[V|.V],(spuel)[V])[V]
abstammen	((ab)[V|.V],((Stamm)[N])[V])[V]
Abstammung	(((ab)[V|.V],((Stamm)[N])[V])[V],(ung)[N|V.])[N]
Abstand	(Abstand)[N]
abstaendig	((Abstand)[N],(ig)[A|N.])[A]
Abstandssumme	((Abstand)[N],(s)[N|N.N],(Summe)[N])[N]
abstatten	((ab)[V|.N],(Statt)[N])[V]
abstauben	((ab)[V|.V],((stieb)[V])[V])[V]
abstaeuben	((ab)[V|.V],(((stieb)[V])[N])[V])[V]
abstechen	((ab)[V|.V],(stech)[V])[V]
Abstecher	(((ab)[V|.V],(stech)[V])[V],(er)[N|V.])[N]
abstecken	((ab)[V|.V],(steck)[V])[V]
abstehen	((ab)[V|.V],(steh)[V])[V]
absteifen	((ab)[V|.V],((steif)[A])[V])[V]
absteigen	((ab)[V|.V],(steig)[V])[V]
Absteige	(((ab)[V|.V],(steig)[V])[V],(e)[N|V.])[N]
Absteigequartier	((((ab)[V|.V],(steig)[V])[V],(e)[N|V.])[N],(quartier)[N])[N]
Absteiger	(((ab)[V|.V],(steig)[V])[V],(er)[N|V.])[N]
abstellen	((ab)[V|.V],(stell)[V])[V]
Abstellbahnhof	(((ab)[V|.V],(stell)[V])[V],((Bahn)[N],(Hof)[N])[N])[N]
Abstellgleis	(((ab)[V|.V],(stell)[V])[V],(Gleis)[N])[N]
Abstellraum	(((ab)[V|.V],(stell)[V])[V],(Raum)[N])[N]
Abstellung	(((ab)[V|.V],(stell)[V])[V],(ung)[N|V.])[N]
abstempeln	((ab)[V|.V],((Stempel)[N])[V])[V]
Abstempelung	(((ab)[V|.V],((Stempel)[N])[V])[V],(ung)[N|V.])[N]
absteppen	((ab)[V|.V],(stepp)[V])[V]
absterben	((ab)[V|.V],(sterb)[V])[V]
Abstich	(((ab)[V|.V],(stech)[V])[V])[N]
Abstieg	(((ab)[V|.V],(steig)[V])[V])[N]
abstiegsgefaehrdet	((((ab)[V|.V],(steig)[V])[V])[N],(s)[A|N.F],(gefaehrdet)[F])[A]
abstillen	((ab)[V|.V],((still)[A])[V])[V]
abstimmen	((ab)[V|.V],((Stimme)[N])[V])[V]
Abstimmkreis	(((ab)[V|.V],((Stimme)[N])[V])[V],(Kreis)[N])[N]
Abstimmschaerfe	(((ab)[V|.V],((Stimme)[N])[V])[V],((scharf)[A],(e)[N|A.])[N])[N]
Abstimmung	(((ab)[V|.V],((Stimme)[N])[V])[V],(ung)[N|V.])[N]
Abstimmungsergebnis	((((ab)[V|.V],((Stimme)[N])[V])[V],(ung)[N|V.])[N],(s)[N|N.N],(((er)[V|.V],(geb)[V])[V],(nis)[N|V.])[N])[N]
abstinent	((abstin)[R],(ent)[A|R.])[A]
Abstinent	(((abstin)[R],(ent)[A|R.])[A])[N]
Abstinenz	((abstin)[R],(enz)[N|R.])[N]
Abstinenzler	(((abstin)[R],(enz)[N|R.])[N],(ler)[N|N.])[N]
Abstinenztag	(((abstin)[R],(enz)[N|R.])[N],(Tag)[N])[N]
abstoppen	((ab)[V|.V],((stop)[I])[V])[V]
abstossen	((ab)[V|.V],(stoss)[V])[V]
Abstoss	(((ab)[V|.V],(stoss)[V])[V])[N]
abstossend	((abstossend)[F])[A]
Abstossung	(((ab)[V|.V],(stoss)[V])[V],(ung)[N|V.])[N]
abstottern	((ab)[V|.V],(stotter)[V])[V]
abstrafen	((ab)[V|.V],(straf)[V])[V]
Abstrafung	(((ab)[V|.V],(straf)[V])[V],(ung)[N|V.])[N]
abstrahlen	((ab)[V|.V],((Strahl)[N])[V])[V]
Abstraktion	((abstrah)[R],(ion)[N|R.])[N]
Abstraktionsfaehigkeit	(((abstrah)[R],(ion)[N|R.])[N],(s)[N|N.N],((faehig)[A],(keit)[N|A.])[N])[N]
Abstraktum	((abstrakt)[A],(um)[N|A.])[N]
abstraengen	((ab)[V|.V],((Strang)[N])[V])[V]
abstreichen	((ab)[V|.V],(streich)[V])[V]
Abstreicher	(((ab)[V|.V],(streich)[V])[V],(er)[N|V.])[N]
abstreiten	((ab)[V|.V],(streit)[V])[V]
Abstrich	(((ab)[V|.V],(streich)[V])[V])[N]
abstufen	((ab)[V|.V],((Stufe)[N])[V])[V]
Abstufung	(((ab)[V|.V],((Stufe)[N])[V])[V],(ung)[N|V.])[N]
abstumpfen	((ab)[V|.V],((stumpf)[A])[V])[V]
Abstumpfung	(((ab)[V|.V],((stumpf)[A])[V])[V],(ung)[N|V.])[N]
abstuerzen	((ab)[V|.V],(stuerz)[V])[V]
Absturz	(((ab)[V|.V],(stuerz)[V])[V])[N]
abstuetzen	((ab)[V|.V],(stuetz)[V])[V]
absuchen	((ab)[V|.V],(such)[V])[V]
Absurditaet	((absurd)[A],(itaet)[N|A.])[N]
Abszissenachse	((Abszisse)[N],(n)[N|N.N],(Achse)[N])[N]
Abt	(Abt)[N]
abtakeln	((ab)[V|.V],((Takel)[N])[V])[V]
Abtakelung	(((ab)[V|.V],((Takel)[N])[V])[V],(ung)[N|V.])[N]
Abtaklung	(((ab)[V|.V],((Takel)[N])[V])[V],(ung)[N|V.])[N]
abtasten	((ab)[V|.V],(tast)[V])[V]
Abtastung	(((ab)[V|.V],(tast)[V])[V],(ung)[N|V.])[N]
abtauen	((ab)[V|.V],(tau)[V])[V]
abtauschen	((ab)[V|.V],(tausch)[V])[V]
Abtausch	(((ab)[V|.V],(tausch)[V])[V])[N]
Abtei	((Abt)[N],(ei)[N|N.])[N]
abteilen	((ab)[V|.V],((Teil)[N])[V])[V]
Abteil	(((ab)[V|.V],((Teil)[N])[V])[V])[N]
Abteilung	(((ab)[V|.V],((Teil)[N])[V])[V],(ung)[N|V.])[N]
Abteilungsleiter	((((ab)[V|.V],((Teil)[N])[V])[V],(ung)[N|V.])[N],(s)[N|N.Vx],(leit)[V],(er)[N|NxV.])[N]
abteufen	((ab)[V|.V],(teuf)[V])[V]
abtippen	((ab)[V|.V],(tipp)[V])[V]
Aebtissin	((Abt)[N],(issin)[N|N.])[N]
abtoenen	((ab)[V|.V],(toen)[V])[V]
Abtoenung	(((ab)[V|.V],(toen)[V])[V],(ung)[N|V.])[N]
abtoeten	((ab)[V|.V],((tot)[A])[V])[V]
Abtoetung	(((ab)[V|.V],((tot)[A])[V])[V],(ung)[N|V.])[N]
abtragen	((ab)[V|.V],(trag)[V])[V]
Abtrag	(((ab)[V|.V],(trag)[V])[V])[N]
abtraeglich	((((ab)[V|.V],(trag)[V])[V])[N],(lich)[A|N.])[A]
Abtragung	(((ab)[V|.V],(trag)[V])[V],(ung)[N|V.])[N]
Abtransport	(((ab)[V|.V],((transport)[R],(ier)[V|R.])[V])[V])[N]
abtransportieren	((ab)[V|.V],((transport)[R],(ier)[V|R.])[V])[V]
abtreiben	((ab)[V|.V],(treib)[V])[V]
Abtreibung	(((ab)[V|.V],(treib)[V])[V],(ung)[N|V.])[N]
abtrennen	((ab)[V|.V],(trenn)[V])[V]
abtrennbar	(((ab)[V|.V],(trenn)[V])[V],(bar)[A|V.])[A]
Abtrennung	(((ab)[V|.V],(trenn)[V])[V],(ung)[N|V.])[N]
abtreten	((ab)[V|.V],(tret)[V])[V]
Abtreter	(((ab)[V|.V],(tret)[V])[V],(er)[N|V.])[N]
Abtretung	(((ab)[V|.V],(tret)[V])[V],(ung)[N|V.])[N]
Abtrieb	(((ab)[V|.V],(treib)[V])[V])[N]
Abtrift	(((ab)[V|.V],(treib)[V])[V])[N]
abtrocknen	((ab)[V|.V],((trocken)[A])[V])[V]
